               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09349,            0.052635,             0.06686,            0.058316,             0.52351,            0.071636,            0.028037,            0.057392,            0.031928,            0.062652,            0.070476,           0.0032804,           0.0032804
                   1,            0.063374,            0.038539,            0.061628,             0.09265,             0.41262,             0.10643,            0.028215,            0.064978,            0.027835,            0.060993,            0.040258,           0.0063955,           0.0063955
                   2,            0.059293,             0.03611,            0.060594,             0.23207,             0.45527,             0.26233,            0.087393,            0.048508,            0.032195,            0.059263,           0.0098197,           0.0092906,           0.0092906
                   3,            0.048239,            0.033948,            0.057805,             0.25453,             0.58426,             0.28955,             0.11269,             0.04385,            0.024632,            0.055009,             0.00901,             0.00901,             0.00901
                   4,            0.040453,            0.031576,            0.053224,             0.29065,             0.63373,             0.42629,             0.13066,            0.051434,            0.025232,             0.04993,             0.00901,             0.00901,             0.00901
                   5,            0.035783,            0.030138,            0.049151,             0.42041,             0.76013,             0.54928,             0.26893,            0.032421,            0.020375,            0.045151,             0.00868,             0.00868,             0.00868
                   6,            0.033984,            0.028941,            0.045855,             0.28732,              0.3668,             0.28635,            0.057222,              0.0727,            0.026878,            0.042133,             0.00835,             0.00835,             0.00835
                   7,            0.031456,            0.027744,            0.042796,             0.44924,             0.74322,             0.63895,             0.36182,            0.028741,            0.022341,            0.039117,             0.00802,             0.00802,             0.00802
                   8,             0.02968,            0.027652,            0.040082,             0.51289,             0.84197,             0.74454,             0.51914,            0.020488,            0.021046,            0.035883,             0.00769,             0.00769,             0.00769
                   9,            0.029297,            0.027485,            0.037022,             0.58044,             0.86558,             0.78389,             0.43256,            0.025027,            0.017932,            0.032733,             0.00736,             0.00736,             0.00736
                  10,            0.027821,            0.026574,            0.034263,             0.64353,             0.92459,             0.85033,             0.66655,              0.0169,            0.018988,            0.030607,             0.00703,             0.00703,             0.00703
                  11,            0.027494,             0.02659,            0.031471,              0.6882,               0.891,             0.86805,             0.64452,            0.016628,            0.018584,            0.028794,              0.0067,              0.0067,              0.0067
                  12,            0.027036,            0.026192,            0.028372,             0.76642,             0.91266,             0.88408,             0.63599,            0.020707,            0.017397,             0.02304,             0.00637,             0.00637,             0.00637
                  13,             0.02654,            0.025781,            0.025711,             0.82757,             0.86549,             0.91602,             0.54858,            0.026095,            0.017623,            0.020643,             0.00604,             0.00604,             0.00604
                  14,            0.024577,              0.0248,            0.023671,             0.90134,             0.87125,             0.93997,             0.70973,            0.017921,            0.017888,            0.019087,             0.00571,             0.00571,             0.00571
                  15,             0.02381,            0.025112,            0.021522,             0.94616,              0.9178,             0.95788,             0.70427,            0.021973,            0.016495,            0.016271,             0.00538,             0.00538,             0.00538
                  16,            0.023968,            0.025105,            0.019606,             0.91943,              0.9054,             0.95335,             0.71432,            0.018452,            0.015989,             0.01584,             0.00505,             0.00505,             0.00505
                  17,            0.023916,            0.024714,            0.017478,             0.96317,             0.95263,             0.98122,             0.31264,            0.048815,            0.022107,            0.012335,             0.00472,             0.00472,             0.00472
                  18,            0.022846,            0.023963,            0.015388,             0.98242,             0.97593,             0.98919,             0.79513,            0.016052,            0.017516,            0.010398,             0.00439,             0.00439,             0.00439
                  19,            0.022363,             0.02378,            0.013507,             0.98042,             0.97943,             0.99025,             0.79524,            0.015259,            0.015977,           0.0089597,             0.00406,             0.00406,             0.00406
                  20,            0.022253,             0.02445,            0.012307,             0.95932,             0.97733,             0.98642,             0.43029,            0.043709,            0.021267,            0.008468,             0.00373,             0.00373,             0.00373
                  21,            0.021326,            0.023379,            0.011237,             0.98423,             0.98614,             0.99162,             0.80125,            0.014468,            0.016294,           0.0067837,              0.0034,              0.0034,              0.0034
                  22,             0.02079,            0.023355,            0.010239,             0.99006,             0.99253,             0.99312,             0.71096,            0.022097,            0.015953,           0.0055709,             0.00307,             0.00307,             0.00307
                  23,            0.019453,            0.022769,           0.0092156,              0.9884,             0.98985,             0.99175,             0.84506,            0.012424,            0.016072,           0.0048681,             0.00274,             0.00274,             0.00274
